vila	Vila, Encamp, Andorra	42.53176	1.56654	1418	Europe/Andorra
el tarter	El Tarter, Canillo, Andorra	42.57952	1.65362	1003	Europe/Andorra
sant julia de loria	Sant Julià de Lòria, Sant Julià de Loria, Andorra	42.46372	1.49129	8022	Europe/Andorra
santa coloma	Santa Coloma, Andorra la Vella, Andorra	42.49454	1.49897	3236	Europe/Andorra
pas de la casa	Pas de la Casa, Encamp, Andorra	42.54277	1.73361	2996	Europe/Andorra
ordino	Ordino, Ordino, Andorra	42.55623	1.53319	3066	Europe/Andorra
les escaldes	les Escaldes, Escaldes-Engordany, Andorra	42.50729	1.53414	15853	Europe/Andorra
les bons	Les Bons, Encamp, Andorra	42.53873	1.58649	1171	Europe/Andorra
la massana	la Massana, La Massana, Andorra	42.54499	1.51483	7211	Europe/Andorra
encamp	Encamp, Encamp, Andorra	42.53474	1.58014	11223	Europe/Andorra
canillo	Canillo, Canillo, Andorra	42.5676	1.59756	3292	Europe/Andorra
arinsal	Arinsal, La Massana, Andorra	42.57205	1.48453	1419	Europe/Andorra
anyos	Anyós, La Massana, Andorra	42.53465	1.5251	1006	Europe/Andorra
andorra la vella	Andorra la Vella, Andorra la Vella, Andorra	42.50779	1.52109	20430	Europe/Andorra
aixirivall	Aixirivall, Sant Julià de Loria, Andorra	42.46245	1.50209	1041	Europe/Andorra
warisan	Warīsān, Dubai, United Arab Emirates	25.16744	55.40708	108759	Asia/Dubai
wrsan	Warīsān, Dubai, United Arab Emirates	25.16744	55.40708	108759	Asia/Dubai
varisan	Warīsān, Dubai, United Arab Emirates	25.16744	55.40708	108759	Asia/Dubai
warsan	Warīsān, Dubai, United Arab Emirates	25.16744	55.40708	108759	Asia/Dubai
umm suqaym	Umm Suqaym, Dubai, United Arab Emirates	25.15491	55.21015	16459	Asia/Dubai
umm al quwain city	Umm Al Quwain City, Umm Al Quwain, United Arab Emirates	25.56473	55.55517	59098	Asia/Dubai
tarif kalba	Ţarīf Kalbā, Fujairah, United Arab Emirates	25.0695	56.33115	51000	Asia/Dubai
ar rashidiyah	Ar Rāshidīyah, Dubai, United Arab Emirates	25.22499	55.38947	38425	Asia/Dubai
rasa ala khaima	Ras Al Khaimah, Ras Al Khaimah, United Arab Emirates	25.78953	55.9432	351943	Asia/Dubai
ras alkhymt	Ras Al Khaimah, Ras Al Khaimah, United Arab Emirates	25.78953	55.9432	351943	Asia/Dubai
rasa ala khaimaha	Ras Al Khaimah, Ras Al Khaimah, United Arab Emirates	25.78953	55.9432	351943	Asia/Dubai
